"rate_mode","physical_rate_khz","bandwidth_khz","super_frame_num","tested_combinations","normal_combinations","fallback_combinations","max_supported_ul_dl_sum"
"6","4","125","41","256","0","256","0"
"6","4","125","42","256","0","256","0"
"6","4","125","43","256","0","256","0"
"6","4","125","44","256","0","256","0"
"6","4","125","45","256","0","256","0"
"6","4","125","46","256","0","256","0"
"6","4","125","47","256","0","256","0"
"6","4","125","48","256","0","256","0"
"6","4","125","49","256","0","256","0"
"6","4","125","50","256","0","256","0"
"6","4","125","51","256","0","256","0"
"6","4","125","52","256","0","256","0"
"6","4","125","53","256","0","256","0"
"6","4","125","54","256","0","256","0"
"6","4","125","55","256","0","256","0"
"6","4","125","56","256","0","256","0"
"6","4","125","57","256","0","256","0"
"6","4","125","58","256","0","256","0"
"6","4","125","59","256","0","256","0"
"6","4","125","60","256","0","256","0"
"6","4","125","61","256","0","256","0"
"6","4","125","62","256","0","256","0"
"6","4","125","63","256","0","256","0"
"6","4","125","64","256","0","256","0"
"6","4","125","65","256","0","256","0"
"6","4","125","66","256","0","256","0"
"6","4","125","67","256","0","256","0"
"6","4","125","68","256","0","256","0"
"6","4","125","69","256","0","256","0"
"6","4","125","70","256","0","256","0"
"6","4","125","71","256","0","256","0"
"6","4","125","72","256","0","256","0"
"6","4","125","73","256","0","256","0"
"6","4","125","74","256","0","256","0"
"6","4","125","75","256","0","256","0"
"6","4","125","76","256","0","256","0"
"6","4","125","77","256","0","256","0"
"6","4","125","78","256","0","256","0"
"6","4","125","79","256","0","256","0"
"6","4","125","80","256","0","256","0"
"6","4","125","81","256","0","256","0"
"6","4","125","82","256","0","256","0"
"6","4","125","83","256","0","256","0"
"6","4","125","84","256","0","256","0"
"6","4","125","85","256","0","256","0"
"6","4","125","86","256","0","256","0"
"6","4","125","87","256","0","256","0"
"6","4","125","88","256","0","256","0"
"6","4","125","89","256","0","256","0"
"6","4","125","90","256","0","256","0"
"6","4","125","91","256","0","256","0"
"6","4","125","92","256","0","256","0"
"6","4","125","93","256","0","256","0"
"6","4","125","94","256","0","256","0"
"6","4","125","95","256","0","256","0"
"6","4","125","96","256","0","256","0"
"6","4","125","97","256","0","256","0"
"6","4","125","98","256","0","256","0"
"6","4","125","99","256","0","256","0"
"6","4","125","100","256","0","256","0"
"7","8","250","1","256","256","0","32"
"7","8","250","2","256","256","0","32"
"7","8","250","3","256","256","0","32"
"7","8","250","4","256","256","0","32"
"7","8","250","5","256","235","21","26"
"7","8","250","6","256","151","105","18"
"7","8","250","7","256","45","211","10"
"7","8","250","8","256","91","165","14"
"7","8","250","9","256","45","211","10"
"7","8","250","10","256","45","211","10"
"7","8","250","11","256","0","256","0"
"7","8","250","12","256","21","235","7"
"7","8","250","13","256","0","256","0"
"7","8","250","14","256","3","253","3"
"7","8","250","15","256","6","250","4"
"7","8","250","16","256","10","246","5"
"7","8","250","17","256","0","256","0"
"7","8","250","18","256","3","253","3"
"7","8","250","19","256","0","256","0"
"7","8","250","20","256","3","253","3"
"7","8","250","21","256","0","256","0"
"7","8","250","22","256","0","256","0"
"7","8","250","23","256","0","256","0"
"7","8","250","24","256","0","256","0"
"7","8","250","25","256","0","256","0"
"7","8","250","26","256","0","256","0"
"7","8","250","27","256","0","256","0"
"7","8","250","28","256","0","256","0"
"7","8","250","29","256","0","256","0"
"7","8","250","30","256","0","256","0"
"7","8","250","31","256","0","256","0"
"7","8","250","32","256","0","256","0"
"7","8","250","33","256","0","256","0"
"7","8","250","34","256","0","256","0"
"7","8","250","35","256","0","256","0"
"7","8","250","36","256","0","256","0"
"7","8","250","37","256","0","256","0"
"7","8","250","38","256","0","256","0"
"7","8","250","39","256","0","256","0"
"7","8","250","40","256","0","256","0"
"7","8","250","41","256","0","256","0"
"7","8","250","42","256","0","256","0"
"7","8","250","43","256","0","256","0"
"7","8","250","44","256","0","256","0"
"7","8","250","45","256","0","256","0"
"7","8","250","46","256","0","256","0"
"7","8","250","47","256","0","256","0"
"7","8","250","48","256","0","256","0"
"7","8","250","49","256","0","256","0"
"7","8","250","50","256","0","256","0"
"7","8","250","51","256","0","256","0"
"7","8","250","52","256","0","256","0"
"7","8","250","53","256","0","256","0"
"7","8","250","54","256","0","256","0"
"7","8","250","55","256","0","256","0"
"7","8","250","56","256","0","256","0"
"7","8","250","57","256","0","256","0"
"7","8","250","58","256","0","256","0"
"7","8","250","59","256","0","256","0"
"7","8","250","60","256","0","256","0"
"7","8","250","61","256","0","256","0"
"7","8","250","62","256","0","256","0"
"7","8","250","63","256","0","256","0"
"7","8","250","64","256","0","256","0"
"7","8","250","65","256","0","256","0"
"7","8","250","66","256","0","256","0"
"7","8","250","67","256","0","256","0"
"7","8","250","68","256","0","256","0"
"7","8","250","69","256","0","256","0"
"7","8","250","70","256","0","256","0"
"7","8","250","71","256","0","256","0"
"7","8","250","72","256","0","256","0"
"7","8","250","73","256","0","256","0"
"7","8","250","74","256","0","256","0"
"7","8","250","75","256","0","256","0"
"7","8","250","76","256","0","256","0"
"7","8","250","77","256","0","256","0"
"7","8","250","78","256","0","256","0"
"7","8","250","79","256","0","256","0"
"7","8","250","80","256","0","256","0"
"7","8","250","81","256","0","256","0"
"7","8","250","82","256","0","256","0"
"7","8","250","83","256","0","256","0"
"7","8","250","84","256","0","256","0"
"7","8","250","85","256","0","256","0"
"7","8","250","86","256","0","256","0"
"7","8","250","87","256","0","256","0"
