"rate_mode","physical_rate_khz","bandwidth_khz","super_frame_num","brd_blocks","ul_blocks","dl_blocks","total_ul_dl_blocks","raw_period_us","frame_period_us","frame_count","added_gap_us","normal_solution","total_duration_us"
"5","2","62.5","1","2","5","6","11","3981727","4000000","1","18273","1","4000000"
"5","2","62.5","1","2","5","7","12","4243871","4500000","2","256129","1","9000000"
"5","2","62.5","1","2","5","8","13","4506015","5000000","1","493985","1","5000000"
"5","2","62.5","1","2","5","9","14","4768159","5000000","1","231841","1","5000000"
"5","2","62.5","1","2","5","10","15","5030303","6000000","1","969697","1","6000000"
"5","2","62.5","1","2","5","11","16","5292447","6000000","1","707553","1","6000000"
"5","2","62.5","1","2","5","12","17","5554591","6000000","1","445409","1","6000000"
"5","2","62.5","1","2","5","13","18","5816735","6000000","1","183265","1","6000000"
"5","2","62.5","1","2","5","14","19","6078879","7000000","1","921121","1","7000000"
"5","2","62.5","1","2","5","15","20","6341023","7000000","1","658977","1","7000000"
"5","2","62.5","1","2","5","16","21","6603167","7000000","1","396833","1","7000000"
"5","2","62.5","1","2","6","1","7","2933151","3000000","1","66849","1","3000000"
"5","2","62.5","1","2","6","2","8","3195295","3500000","2","304705","1","7000000"
"5","2","62.5","1","2","6","3","9","3457439","3500000","2","42561","1","7000000"
"5","2","62.5","1","2","6","4","10","3719583","4000000","1","280417","1","4000000"
"5","2","62.5","1","2","6","5","11","3981727","4000000","1","18273","1","4000000"
"5","2","62.5","1","2","6","6","12","4243871","4500000","2","256129","1","9000000"
"5","2","62.5","1","2","6","7","13","4506015","5000000","1","493985","1","5000000"
"5","2","62.5","1","2","6","8","14","4768159","5000000","1","231841","1","5000000"
"5","2","62.5","1","2","6","9","15","5030303","6000000","1","969697","1","6000000"
"5","2","62.5","1","2","6","10","16","5292447","6000000","1","707553","1","6000000"
"5","2","62.5","1","2","6","11","17","5554591","6000000","1","445409","1","6000000"
"5","2","62.5","1","2","6","12","18","5816735","6000000","1","183265","1","6000000"
"5","2","62.5","1","2","6","13","19","6078879","7000000","1","921121","1","7000000"
"5","2","62.5","1","2","6","14","20","6341023","7000000","1","658977","1","7000000"
"5","2","62.5","1","2","6","15","21","6603167","7000000","1","396833","1","7000000"
"5","2","62.5","1","2","6","16","22","6865311","7000000","1","134689","1","7000000"
"5","2","62.5","1","2","7","1","8","3195295","3500000","2","304705","1","7000000"
"5","2","62.5","1","2","7","2","9","3457439","3500000","2","42561","1","7000000"
"5","2","62.5","1","2","7","3","10","3719583","4000000","1","280417","1","4000000"
"5","2","62.5","1","2","7","4","11","3981727","4000000","1","18273","1","4000000"
"5","2","62.5","1","2","7","5","12","4243871","4500000","2","256129","1","9000000"
"5","2","62.5","1","2","7","6","13","4506015","5000000","1","493985","1","5000000"
"5","2","62.5","1","2","7","7","14","4768159","5000000","1","231841","1","5000000"
"5","2","62.5","1","2","7","8","15","5030303","6000000","1","969697","1","6000000"
"5","2","62.5","1","2","7","9","16","5292447","6000000","1","707553","1","6000000"
"5","2","62.5","1","2","7","10","17","5554591","6000000","1","445409","1","6000000"
"5","2","62.5","1","2","7","11","18","5816735","6000000","1","183265","1","6000000"
"5","2","62.5","1","2","7","12","19","6078879","7000000","1","921121","1","7000000"
"5","2","62.5","1","2","7","13","20","6341023","7000000","1","658977","1","7000000"
"5","2","62.5","1","2","7","14","21","6603167","7000000","1","396833","1","7000000"
"5","2","62.5","1","2","7","15","22","6865311","7000000","1","134689","1","7000000"
"5","2","62.5","1","2","7","16","23","7127455","8000000","1","872545","1","8000000"
"5","2","62.5","1","2","8","1","9","3457439","3500000","2","42561","1","7000000"
"5","2","62.5","1","2","8","2","10","3719583","4000000","1","280417","1","4000000"
"5","2","62.5","1","2","8","3","11","3981727","4000000","1","18273","1","4000000"
"5","2","62.5","1","2","8","4","12","4243871","4500000","2","256129","1","9000000"
"5","2","62.5","1","2","8","5","13","4506015","5000000","1","493985","1","5000000"
"5","2","62.5","1","2","8","6","14","4768159","5000000","1","231841","1","5000000"
"5","2","62.5","1","2","8","7","15","5030303","6000000","1","969697","1","6000000"
"5","2","62.5","1","2","8","8","16","5292447","6000000","1","707553","1","6000000"
"5","2","62.5","1","2","8","9","17","5554591","6000000","1","445409","1","6000000"
"5","2","62.5","1","2","8","10","18","5816735","6000000","1","183265","1","6000000"
"5","2","62.5","1","2","8","11","19","6078879","7000000","1","921121","1","7000000"
"5","2","62.5","1","2","8","12","20","6341023","7000000","1","658977","1","7000000"
"5","2","62.5","1","2","8","13","21","6603167","7000000","1","396833","1","7000000"
"5","2","62.5","1","2","8","14","22","6865311","7000000","1","134689","1","7000000"
"5","2","62.5","1","2","8","15","23","7127455","8000000","1","872545","1","8000000"
"5","2","62.5","1","2","8","16","24","7389599","8000000","1","610401","1","8000000"
"5","2","62.5","1","2","9","1","10","3719583","4000000","1","280417","1","4000000"
"5","2","62.5","1","2","9","2","11","3981727","4000000","1","18273","1","4000000"
"5","2","62.5","1","2","9","3","12","4243871","4500000","2","256129","1","9000000"
"5","2","62.5","1","2","9","4","13","4506015","5000000","1","493985","1","5000000"
"5","2","62.5","1","2","9","5","14","4768159","5000000","1","231841","1","5000000"
"5","2","62.5","1","2","9","6","15","5030303","6000000","1","969697","1","6000000"
"5","2","62.5","1","2","9","7","16","5292447","6000000","1","707553","1","6000000"
"5","2","62.5","1","2","9","8","17","5554591","6000000","1","445409","1","6000000"
"5","2","62.5","1","2","9","9","18","5816735","6000000","1","183265","1","6000000"
"5","2","62.5","1","2","9","10","19","6078879","7000000","1","921121","1","7000000"
"5","2","62.5","1","2","9","11","20","6341023","7000000","1","658977","1","7000000"
